Country Code,c_type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
科威特,荒漠国,,,,,,2097451694,2391486978,2441893027,2663119574,2769532344,2873984878,3880370402,4451200973,5408293999,13004774557,12024138276,13131668947,14135729588,15500908760,24746019537,28638550499,25056672166,21577977770,20869434305,21697297872,21442619681,17903681693,22365734482,20692472760,24312117767,18427777778,11008793176,19858555215,23941391391,24848483838,27191353887,31493319973,30355093966,25939960630,30123850197,37712842243,34887512227,38137545245,47876510067,59439090601,80798630137,1.01549E+11,1.1464E+11,1.47395E+11,1.05963E+11,1.15419E+11,1.54068E+11,1.7407E+11,1.74161E+11,1.62631E+11,1.14567E+11,1.0942E+11,1.20707E+11,1.38182E+11,1.36197E+11,1.0596E+11
阿拉伯埃及共和国,荒漠国,,,,,,4948667540,5278005612,5605484299,5932242991,6524455206,8042200452,8609283346,9299638056,10098534613,9228963225,11632178869,13315988083,14400806876,14811704063,18020571429,21669908177,22136081081,27655172414,30966239814,33971188992,39053502251,41253507951,40455616654,34980124929,39756299050,42978914311,37387836491,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,1.07426E+11,1.30438E+11,1.62818E+11,1.89147E+11,2.18984E+11,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.35734E+11,2.49713E+11,3.03081E+11,3.65253E+11
阿尔及利亚,荒漠国,2723593385,2434727330,2001428328,2702960118,2909292864,3136258897,3039834559,3370843066,3852115817,4257218772,4863487493,5077222367,6766766611,8707847924,13210029612,15557934268,17728347375,20971901273,26364491313,33243422158,42346380831,44348672668,45207088716,48801369800,53698278906,57937868670,63692238160,66746396416,59089067187,55634414465,62048562947,45715614560,48003078389,49945599429,42543178042,41764315330,46941582519,48177612042,48187747529,48640653469,54790392746,54744712815,56760355865,67863828413,85332581189,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.71767E+11,1.45009E+11
伊朗伊斯兰共和国,荒漠国,4199134390,4426949095,4693566416,4928628018,5379845648,6197319929,6789938672,7555383690,8623172960,9743089607,10976245154,13731801564,17153463263,27081698250,46209092072,51776222350,68055295081,80600122702,77994316621,90391877326,94362275580,1.00499E+11,1.25949E+11,1.56365E+11,1.62277E+11,1.80184E+11,2.09095E+11,1.3401E+11,1.23058E+11,1.20496E+11,1.24813E+11,,,63743623232,71841461173,96419225744,1.20404E+11,1.13919E+11,1.10277E+11,1.13848E+11,1.09592E+11,1.26879E+11,1.28627E+11,1.53545E+11,1.90043E+11,2.26452E+11,2.66299E+11,3.49882E+11,4.12336E+11,4.16397E+11,4.86808E+11,5.80765E+11,5.98868E+11,4.60293E+11,4.32687E+11,3.84951E+11,4.17984E+11,4.45345E+11,2.94357E+11,2.58245E+11,2.03471E+11
土耳其,荒漠国,13995067818,7988888889,8922222222,10355555556,11177777778,11966666667,14100000000,15644444444,17500000000,19466666667,17086956522,16256619964,20431095406,25724381625,35599913836,44633707243,51280134554,58676813687,65147022486,89394085658,68789289566,71040020140,64546332581,61678280115,59989909458,67234948265,75728009963,87172789528,90852814005,1.07143E+11,1.50676E+11,1.50028E+11,1.58459E+11,1.8017E+11,1.3069E+11,1.69486E+11,1.81476E+11,1.89835E+11,2.75967E+11,2.56386E+11,2.74303E+11,2.01751E+11,2.40253E+11,3.14592E+11,4.08876E+11,5.06308E+11,5.57058E+11,6.81337E+11,7.70462E+11,6.49273E+11,7.76993E+11,8.38763E+11,8.80556E+11,9.57783E+11,9.38953E+11,8.64317E+11,8.69693E+11,8.58996E+11,7.78472E+11,7.61004E+11,7.19955E+11
奥地利,内陆国,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,1.24168E+11,1.33339E+11,1.33106E+11,1.66463E+11,1.73794E+11,1.95078E+11,1.9038E+11,2.03535E+11,2.41038E+11,2.37251E+11,2.1279E+11,2.1826E+11,2.17259E+11,1.9729E+11,1.97509E+11,2.14395E+11,2.62274E+11,3.01458E+11,3.16092E+11,3.3628E+11,3.89186E+11,4.32052E+11,4.01759E+11,3.92275E+11,4.31685E+11,4.09402E+11,4.30191E+11,4.42585E+11,3.81971E+11,3.95837E+11,4.17261E+11,4.55168E+11,4.45012E+11,4.33258E+11
匈牙利,内陆国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34753569693,38730585922,40124916941,43166678735,46425677734,46658755152,47296952929,48706787306,49073380174,47218405892,53749989092,67608919144,85302003908,1.04141E+11,1.13237E+11,1.15751E+11,1.40228E+11,1.58374E+11,1.31114E+11,1.32231E+11,1.42E+11,1.28857E+11,1.35733E+11,1.41079E+11,1.2521E+11,1.28636E+11,1.43136E+11,1.60587E+11,1.63526E+11,1.55808E+11
瑞士,内陆国,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,1.22661E+11,1.12339E+11,1.1514E+11,1.14731E+11,1.09547E+11,1.11074E+11,1.59224E+11,1.99404E+11,2.15722E+11,2.08281E+11,2.65987E+11,2.69128E+11,2.80157E+11,2.72466E+11,3.01628E+11,3.53133E+11,3.40471E+11,2.95121E+11,3.03882E+11,2.9852E+11,2.79841E+11,2.87227E+11,3.10176E+11,3.63063E+11,4.05531E+11,4.20545E+11,4.43802E+11,4.93537E+11,5.70304E+11,5.582E+11,6.03434E+11,7.22038E+11,6.9211E+11,7.12748E+11,7.34397E+11,7.0215E+11,6.95601E+11,7.04479E+11,7.35539E+11,7.31767E+11,7.52248E+11
卢森堡,内陆国,703925705.9,704145671.4,741509480.8,791140595.8,903158753.9,921600736.3,968440149.5,974721762.5,1066447131,1234878981,1457768455,1518773421,1901697370,2609875802,3183637117,3123333333,3423586207,3789321328,4718539772,5516982664,6019805490,5053665797,4602316793,4524217751,4438435493,4577211767,6685595088,8320902215,9418167855,10037674038,12778792854,13834219728,15518702635,15925521222,17701798891,20853093870,20895314658,19563836265,20150053345,21899317599,21230182989,21387533703,23649833332,29667268248,35064843793,37672280120,42910146296,51587401416,58844277702,54467289898,56213985987,61696281326,59776383527,65203276467,68804811898,60071584216,62216885436,65712180343,71285019397,70195715496,73353132794
乌干达,内陆国,423008385.7,441524109,449012578.6,516147798.7,589056603.8,884873949.6,925770308.1,967647058.8,1037815126,1169047619,1260084034,1417787115,1491596639,1702521008,2100142653,2359555556,2447300000,2936470588,2420260870,2139025000,1244610000,1337300000,2177500000,2240333333,3615647477,3519666339,3923232122,6269511615,6508931652,5276480986,4304398866,3321729057,2857457860,3220439044,3990430447,5755818947,6044585327,6269333313,6584815847,5998563258,6193246837,5840503869,6178563591,6606884391,7939487474,9239221859,9977647645,11902564401,14440404021,25127805566,26673441667,27871725206,27305915761,28915786997,32612397758,32387183845,29203988815,30744473912,32927025573,35353060634,37600368181
