Country Code,c_type,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],
科威特,荒漠国,281552.6567,359024.1721,382460.2581,347853.2403,325543.5418,337166.0756,337318.9942,333128.4359,364533.1207,407492.1099,451738.6696,502671.1085,550075.4067,585651.9898,551406.2003,511822.549,504519.1801,503701.7498,491075.7853,510672.8795,485375.3485,428253.6845,376811.4709,344445.9042,
阿拉伯埃及共和国,荒漠国,3246.806796,3194.557525,3138.511044,3012.037954,2961.787154,3078.773141,3043.391772,3059.952124,3259.091695,3652.033954,4239.276373,4873.048935,5600.960479,6219.697628,6398.622304,6291.603123,6210.749386,5935.750073,5487.163229,5300.01473,4873.836664,4223.004441,3766.572021,3520.251128,
阿尔及利亚,荒漠国,3456.224282,2924.840521,2956.057968,2723.730165,2752.396631,3088.35397,3034.428934,3044.64141,3275.519341,3318.967732,3368.654608,3779.386479,3937.188478,4570.807202,4596.696848,4841.821826,5606.082862,5750.271863,5560.219927,5508.983003,5467.704753,5245.524924,4862.22415,4502.550885,
伊朗伊斯兰共和国,荒漠国,24261.24144,25838.78194,27101.4474,23456.33833,22075.005,24843.58895,25329.05607,26877.66175,29404.06853,32048.22679,33903.43711,37882.81084,40576.55767,43992.69986,42640.92449,40662.69848,39794.83315,37761.66643,36090.92406,37901.92027,35760.30805,31817.40615,31208.23544,30520.49058,
土耳其,荒漠国,6511.600024,6511.063163,6484.39024,6160.867335,5873.641295,5554.89832,5170.772668,4784.723364,4683.459812,4671.142806,4656.408574,4638.123482,4694.668391,4746.146622,4712.926635,4789.618153,4906.290186,4994.187397,4990.606505,5162.109245,5125.874543,5012.783436,5058.425415,5227.563227,
奥地利,内陆国,11685.42559,11203.33261,12281.94358,11866.83754,11447.4114,11731.8757,11812.84055,10735.6111,10744.22508,11233.50584,11233.20062,11333.07114,12972.7463,13266.91775,13000.57674,13535.47174,13686.4223,13756.47549,13558.71109,13477.29786,13600.13446,12944.19188,11908.42339,11940.27521,
匈牙利,内陆国,5608.483156,5234.345623,5131.422373,5051.487432,5044.622894,5227.179573,4927.340359,4678.082693,4722.774812,4317.372659,4338.226675,4400.588598,4483.768541,4621.546665,4700.09457,4956.99867,5178.231093,5499.601264,5273.758117,5421.882713,5700.985001,5547.032653,5726.928221,5685.431848,
瑞士,内陆国,9411.301791,9680.918622,10338.16253,10934.61479,11361.48666,11877.37451,11772.47951,11428.2048,11099.15088,10810.17621,10686.01465,10534.93388,10380.2679,10446.99097,10181.51104,10086.07185,9871.966234,9703.000415,9535.189284,9504.900016,9374.5358,9255.255552,9187.550251,9155.782629,
卢森堡,内陆国,13623.76912,12783.35137,12485.52388,12124.10516,11752.05995,11549.34441,11219.07391,11147.47926,10599.80768,10190.60461,9756.808686,9377.473288,9516.298654,10169.04471,10594.55973,10822.92273,11186.2888,11729.01517,10554.57352,9856.128802,7539.704767,12453.26454,9493.042243,7569.177696,
乌干达,内陆国,2811.488011,2629.20245,2440.54281,2274.123938,2289.501705,2281.090189,2444.596276,2507.086061,2694.889226,2754.005756,2868.732128,2884.751332,2918.265187,2922.132498,2564.975824,2281.263868,2047.34223,1836.154903,1670.265223,1671.168434,1649.657659,1604.106237,1507.489736,1392.43498,
泰国,热带国,6985.781579,7347.447851,6863.22456,7030.356438,7268.854586,7029.009203,7534.328629,7984.674805,8461.957749,7586.379197,7295.008745,6987.904381,6625.896953,7043.78309,7227.259828,7760.139057,8048.83897,6756.489217,7193.850705,6807.523604,6889.371777,6490.873242,6044.571287,5917.024693,
马来西亚,热带国,24963.21829,23496.72405,21405.74272,19189.45763,18157.4922,17395.07098,17148.80236,16762.17835,16928.17022,17241.27836,17453.37718,19127.17046,20753.19075,22019.89315,23108.09445,23318.31167,22547.91923,22196.4041,21328.99915,20303.74128,19415.22713,17892.39169,17176.58627,17332.08902,
菲律宾,热带国,2862.409892,2723.78592,2657.716622,2585.819988,2426.214487,2302.569561,2164.619174,2051.288032,2223.224895,2083.244458,2113.130654,2157.114049,2261.439037,2377.249737,2411.10781,2541.183844,2568.303683,2604.702614,2610.025102,2604.987518,2651.371873,2632.473718,2603.146724,2617.694343,
