DateTime,Trend
1997/7/15 0:00,4.01
1997/8/15 0:00,4.02
1997/9/15 0:00,4.04
1997/10/15 0:00,4.06
1997/11/15 0:00,4.08
1997/12/15 0:00,4.09
1998/1/15 0:00,4.11
1998/2/15 0:00,4.13
1998/3/15 0:00,4.15
1998/4/15 0:00,4.17
1998/5/15 0:00,4.18
1998/6/15 0:00,4.20
1998/7/15 0:00,4.22
1998/8/15 0:00,4.24
1998/9/15 0:00,4.25
1998/10/15 0:00,4.27
1998/11/15 0:00,4.28
1998/12/15 0:00,4.30
1999/1/15 0:00,4.31
1999/2/15 0:00,4.33
1999/3/15 0:00,4.34
1999/4/15 0:00,4.35
1999/5/15 0:00,4.37
1999/6/15 0:00,4.38
1999/7/15 0:00,4.39
1999/8/15 0:00,4.41
1999/9/15 0:00,4.42
1999/10/15 0:00,4.44
1999/11/15 0:00,4.45
1999/12/15 0:00,4.47
2000/1/15 0:00,4.49
2000/2/15 0:00,4.51
2000/3/15 0:00,4.52
2000/4/15 0:00,4.54
2000/5/15 0:00,4.56
2000/6/15 0:00,4.57
2000/7/15 0:00,4.59
2000/8/15 0:00,4.61
2000/9/15 0:00,4.63
2000/10/15 0:00,4.64
2000/11/15 0:00,4.66
2000/12/15 0:00,4.68
2001/1/15 0:00,4.69
2001/2/15 0:00,4.71
2001/3/15 0:00,4.72
2001/4/15 0:00,4.74
2001/5/15 0:00,4.76
2001/6/15 0:00,4.77
2001/7/15 0:00,4.79
2001/8/15 0:00,4.80
2001/9/15 0:00,4.82
2001/10/15 0:00,4.84
2001/11/15 0:00,4.85
2001/12/15 0:00,4.87
2002/1/15 0:00,4.88
2002/2/15 0:00,4.90
2002/3/15 0:00,4.92
2002/4/15 0:00,4.93
2002/5/15 0:00,4.95
2002/6/15 0:00,4.97
2002/7/15 0:00,4.99
2002/8/15 0:00,5.01
2002/9/15 0:00,5.03
2002/10/15 0:00,5.05
2002/11/15 0:00,5.07
2002/12/15 0:00,5.09
2003/1/15 0:00,5.11
2003/2/15 0:00,5.13
2003/3/15 0:00,5.15
2003/4/15 0:00,5.17
2003/5/15 0:00,5.20
2003/6/15 0:00,5.22
2003/7/15 0:00,5.24
2003/8/15 0:00,5.26
2003/9/15 0:00,5.28
2003/10/15 0:00,5.30
2003/11/15 0:00,5.32
2003/12/15 0:00,5.34
2004/1/15 0:00,5.36
2004/2/15 0:00,5.38
2004/3/15 0:00,5.40
2004/4/15 0:00,5.41
2004/5/15 0:00,5.43
2004/6/15 0:00,5.45
2004/7/15 0:00,5.47
2004/8/15 0:00,5.48
2004/9/15 0:00,5.50
2004/10/15 0:00,5.52
2004/11/15 0:00,5.53
2004/12/15 0:00,5.55
2005/1/15 0:00,5.57
2005/2/15 0:00,5.59
2005/3/15 0:00,5.61
2005/4/15 0:00,5.62
2005/5/15 0:00,5.64
2005/6/15 0:00,5.66
2005/7/15 0:00,5.68
2005/8/15 0:00,5.70
2005/9/15 0:00,5.72
2005/10/15 0:00,5.74
2005/11/15 0:00,5.76
2005/12/15 0:00,5.78
2006/1/15 0:00,5.80
2006/2/15 0:00,5.82
2006/3/15 0:00,5.84
2006/4/15 0:00,5.86
2006/5/15 0:00,5.88
2006/6/15 0:00,5.90
2006/7/15 0:00,5.92
2006/8/15 0:00,5.94
2006/9/15 0:00,5.96
2006/10/15 0:00,5.99
2006/11/15 0:00,6.01
2006/12/15 0:00,6.03
2007/1/15 0:00,6.05
2007/2/15 0:00,6.07
2007/3/15 0:00,6.10
2007/4/15 0:00,6.12
2007/5/15 0:00,6.14
2007/6/15 0:00,6.16
2007/7/15 0:00,6.19
2007/8/15 0:00,6.21
2007/9/15 0:00,6.24
2007/10/15 0:00,6.26
2007/11/15 0:00,6.28
2007/12/15 0:00,6.31
2008/1/15 0:00,6.33
2008/2/15 0:00,6.36
2008/3/15 0:00,6.38
2008/4/15 0:00,6.40
2008/5/15 0:00,6.43
2008/6/15 0:00,6.45
2008/7/15 0:00,6.48
2008/8/15 0:00,6.50
2008/9/15 0:00,6.53
2008/10/15 0:00,6.55
2008/11/15 0:00,6.58
2008/12/15 0:00,6.60
2009/1/15 0:00,6.63
2009/2/15 0:00,6.65
2009/3/15 0:00,6.67
2009/4/15 0:00,6.70
2009/5/15 0:00,6.72
2009/6/15 0:00,6.74
2009/7/15 0:00,6.77
2009/8/15 0:00,6.79
2009/9/15 0:00,6.82
2009/10/15 0:00,6.84
2009/11/15 0:00,6.86
2009/12/15 0:00,6.89
2010/1/15 0:00,6.91
2010/2/15 0:00,6.94
2010/3/15 0:00,6.96
2010/4/15 0:00,6.98
2010/5/15 0:00,7.00
2010/6/15 0:00,7.03
2010/7/15 0:00,7.05
2010/8/15 0:00,7.07
2010/9/15 0:00,7.09
2010/10/15 0:00,7.12
2010/11/15 0:00,7.14
2010/12/15 0:00,7.16
2011/1/15 0:00,7.18
2011/2/15 0:00,7.20
2011/3/15 0:00,7.22
2011/4/15 0:00,7.24
2011/5/15 0:00,7.27
2011/6/15 0:00,7.29
2011/7/15 0:00,7.31
2011/8/15 0:00,7.34
2011/9/15 0:00,7.36
2011/10/15 0:00,7.39
2011/11/15 0:00,7.41
2011/12/15 0:00,7.44
