year,area
1990,442163723.3
1991,441659214.7
1992,440639910.6
1993,439426143.6
1994,438440755.3
1995,437455367.3
1996,436469979.1
1997,435484591.2
1998,434499202.9
1999,433513815.1
2000,436745991.3
2001,431820042.3
2002,431117747.5
2003,430415452.1
2004,429713157.3
2005,429010862.7
2006,428348197.8
2007,427662422.5
2008,426976648.1
2009,426290873.1
2010,429547774.4
2011,428849285.3
2012,428150878.2
2013,427452471.3
2014,426754064.2
2015,426055744.4
2016,425481378.9
2017,384690157.8
2018,384043396.8
2019,383367342.8
2020,382708375.7
