DateTime,Monthly,ConfidenceLow (low),ConfidenceLow (high)
1940/1/1 0:00,-0.08,-0.12,-0.03
1940/2/1 0:00,-0.08,-0.13,-0.04
1940/3/1 0:00,-0.08,-0.13,-0.03
1940/4/1 0:00,-0.08,-0.13,-0.03
1940/5/1 0:00,-0.08,-0.13,-0.03
1940/6/1 0:00,-0.08,-0.13,-0.04
1940/7/1 0:00,-0.08,-0.13,-0.04
1940/8/1 0:00,-0.08,-0.13,-0.04
1940/9/1 0:00,-0.09,-0.13,-0.04
1940/10/1 0:00,-0.08,-0.13,-0.04
1940/11/1 0:00,-0.08,-0.12,-0.03
1940/12/1 0:00,-0.08,-0.13,-0.04
1941/1/1 0:00,-0.08,-0.13,-0.04
1941/2/1 0:00,-0.08,-0.13,-0.04
1941/3/1 0:00,-0.08,-0.13,-0.04
1941/4/1 0:00,-0.09,-0.13,-0.04
1941/5/1 0:00,-0.08,-0.13,-0.04
1941/6/1 0:00,-0.08,-0.12,-0.04
1941/7/1 0:00,-0.08,-0.12,-0.04
1941/8/1 0:00,-0.08,-0.12,-0.03
1941/9/1 0:00,-0.07,-0.12,-0.03
1941/10/1 0:00,-0.08,-0.12,-0.03
1941/11/1 0:00,-0.08,-0.12,-0.03
1941/12/1 0:00,-0.08,-0.12,-0.04
1942/1/1 0:00,-0.08,-0.12,-0.03
1942/2/1 0:00,-0.08,-0.12,-0.04
1942/3/1 0:00,-0.07,-0.11,-0.03
1942/4/1 0:00,-0.07,-0.11,-0.03
1942/5/1 0:00,-0.07,-0.11,-0.03
1942/6/1 0:00,-0.07,-0.11,-0.02
1942/7/1 0:00,-0.06,-0.11,-0.02
1942/8/1 0:00,-0.07,-0.11,-0.02
1942/9/1 0:00,-0.07,-0.11,-0.02
1942/10/1 0:00,-0.07,-0.11,-0.02
1942/11/1 0:00,-0.07,-0.11,-0.02
1942/12/1 0:00,-0.07,-0.12,-0.03
1943/1/1 0:00,-0.06,-0.11,-0.02
1943/2/1 0:00,-0.07,-0.11,-0.02
1943/3/1 0:00,-0.07,-0.11,-0.03
1943/4/1 0:00,-0.07,-0.11,-0.03
1943/5/1 0:00,-0.07,-0.11,-0.03
1943/6/1 0:00,-0.07,-0.11,-0.03
1943/7/1 0:00,-0.06,-0.11,-0.02
1943/8/1 0:00,-0.06,-0.11,-0.02
1943/9/1 0:00,-0.06,-0.1,-0.02
1943/10/1 0:00,-0.06,-0.1,-0.02
1943/11/1 0:00,-0.06,-0.1,-0.02
1943/12/1 0:00,-0.06,-0.11,-0.02
1944/1/1 0:00,-0.06,-0.1,-0.02
1944/2/1 0:00,-0.06,-0.1,-0.02
1944/3/1 0:00,-0.06,-0.1,-0.02
1944/4/1 0:00,-0.06,-0.11,-0.02
1944/5/1 0:00,-0.07,-0.11,-0.03
1944/6/1 0:00,-0.07,-0.11,-0.03
1944/7/1 0:00,-0.07,-0.11,-0.03
1944/8/1 0:00,-0.07,-0.11,-0.03
1944/9/1 0:00,-0.07,-0.11,-0.03
1944/10/1 0:00,-0.07,-0.11,-0.03
1944/11/1 0:00,-0.07,-0.11,-0.03
1944/12/1 0:00,-0.07,-0.11,-0.03
1945/1/1 0:00,-0.06,-0.1,-0.02
1945/2/1 0:00,-0.06,-0.1,-0.02
1945/3/1 0:00,-0.06,-0.1,-0.02
1945/4/1 0:00,-0.07,-0.11,-0.03
1945/5/1 0:00,-0.07,-0.11,-0.03
1945/6/1 0:00,-0.07,-0.11,-0.02
1945/7/1 0:00,-0.06,-0.1,-0.02
1945/8/1 0:00,-0.06,-0.1,-0.02
1945/9/1 0:00,-0.06,-0.1,-0.02
1945/10/1 0:00,-0.07,-0.11,-0.02
1945/11/1 0:00,-0.07,-0.11,-0.03
1945/12/1 0:00,-0.07,-0.11,-0.03
1946/1/1 0:00,-0.06,-0.11,-0.02
1946/2/1 0:00,-0.07,-0.11,-0.03
1946/3/1 0:00,-0.08,-0.12,-0.04
1946/4/1 0:00,-0.07,-0.11,-0.03
1946/5/1 0:00,-0.07,-0.11,-0.03
1946/6/1 0:00,-0.07,-0.11,-0.03
1946/7/1 0:00,-0.07,-0.11,-0.03
1946/8/1 0:00,-0.06,-0.1,-0.02
1946/9/1 0:00,-0.06,-0.1,-0.02
1946/10/1 0:00,-0.07,-0.11,-0.03
1946/11/1 0:00,-0.07,-0.11,-0.03
1946/12/1 0:00,-0.07,-0.11,-0.03
1947/1/1 0:00,-0.07,-0.11,-0.03
1947/2/1 0:00,-0.07,-0.1,-0.03
1947/3/1 0:00,-0.06,-0.1,-0.03
1947/4/1 0:00,-0.07,-0.11,-0.03
1947/5/1 0:00,-0.07,-0.1,-0.03
1947/6/1 0:00,-0.06,-0.1,-0.03
1947/7/1 0:00,-0.06,-0.1,-0.02
1947/8/1 0:00,-0.06,-0.1,-0.02
1947/9/1 0:00,-0.06,-0.1,-0.02
1947/10/1 0:00,-0.06,-0.1,-0.02
1947/11/1 0:00,-0.07,-0.11,-0.03
1947/12/1 0:00,-0.07,-0.1,-0.03
1948/1/1 0:00,-0.06,-0.1,-0.03
1948/2/1 0:00,-0.06,-0.1,-0.02
1948/3/1 0:00,-0.06,-0.1,-0.03
1948/4/1 0:00,-0.06,-0.1,-0.03
1948/5/1 0:00,-0.06,-0.1,-0.03
1948/6/1 0:00,-0.06,-0.1,-0.02
1948/7/1 0:00,-0.06,-0.1,-0.03
1948/8/1 0:00,-0.06,-0.1,-0.02
1948/9/1 0:00,-0.06,-0.1,-0.03
1948/10/1 0:00,-0.06,-0.1,-0.02
1948/11/1 0:00,-0.06,-0.1,-0.03
1948/12/1 0:00,-0.07,-0.11,-0.03
1949/1/1 0:00,-0.07,-0.11,-0.03
1949/2/1 0:00,-0.07,-0.11,-0.03
1949/3/1 0:00,-0.07,-0.11,-0.03
1949/4/1 0:00,-0.07,-0.11,-0.03
1949/5/1 0:00,-0.07,-0.1,-0.03
1949/6/1 0:00,-0.07,-0.1,-0.03
1949/7/1 0:00,-0.07,-0.1,-0.03
1949/8/1 0:00,-0.06,-0.1,-0.03
1949/9/1 0:00,-0.07,-0.1,-0.03
1949/10/1 0:00,-0.07,-0.1,-0.03
1949/11/1 0:00,-0.07,-0.11,-0.04
1949/12/1 0:00,-0.08,-0.11,-0.04
1950/1/1 0:00,-0.08,-0.11,-0.04
1950/2/1 0:00,-0.08,-0.11,-0.04
1950/3/1 0:00,-0.08,-0.12,-0.05
1950/4/1 0:00,-0.08,-0.12,-0.05
1950/5/1 0:00,-0.09,-0.12,-0.05
1950/6/1 0:00,-0.08,-0.11,-0.05
1950/7/1 0:00,-0.08,-0.11,-0.04
1950/8/1 0:00,-0.08,-0.11,-0.04
1950/9/1 0:00,-0.08,-0.11,-0.04
1950/10/1 0:00,-0.08,-0.11,-0.05
1950/11/1 0:00,-0.08,-0.11,-0.04
1950/12/1 0:00,-0.08,-0.11,-0.05
1951/1/1 0:00,-0.08,-0.11,-0.05
1951/2/1 0:00,-0.07,-0.1,-0.04
1951/3/1 0:00,-0.07,-0.1,-0.04
1951/4/1 0:00,-0.07,-0.1,-0.04
1951/5/1 0:00,-0.07,-0.1,-0.04
1951/6/1 0:00,-0.07,-0.1,-0.04
1951/7/1 0:00,-0.07,-0.1,-0.04
1951/8/1 0:00,-0.06,-0.09,-0.03
1951/9/1 0:00,-0.06,-0.09,-0.03
1951/10/1 0:00,-0.07,-0.1,-0.03
