Category,NOAA National Climatic Data Center,NASA Goddard Institute for Space Studies,Japanese Meteorological Agency,Met Office Hadley Centre/Climatic Research Unit
1880.00,-0.15,-0.16,null,-0.17
1881.00,-0.10,-0.08,null,-0.14
1882.00,-0.13,-0.11,null,-0.15
1883.00,-0.20,-0.17,null,-0.24
1884.00,-0.29,-0.28,null,-0.35
1885.00,-0.28,-0.33,null,-0.33
1886.00,-0.27,-0.31,null,-0.31
1887.00,-0.31,-0.36,null,-0.36
1888.00,-0.16,-0.17,null,-0.25
1889.00,-0.12,-0.10,null,-0.11
1890.00,-0.37,-0.35,null,-0.36
1891.00,-0.28,-0.22,-0.26,-0.27
1892.00,-0.34,-0.27,-0.37,-0.40
1893.00,-0.36,-0.31,-0.42,-0.41
1894.00,-0.34,-0.30,-0.34,-0.35
1895.00,-0.27,-0.22,-0.29,-0.33
1896.00,-0.12,-0.11,-0.08,-0.13
1897.00,-0.13,-0.10,-0.10,-0.15
1898.00,-0.30,-0.27,-0.27,-0.35
1899.00,-0.19,-0.17,-0.18,-0.23
1900.00,-0.11,-0.08,-0.10,-0.14
1901.00,-0.18,-0.15,-0.18,-0.20
1902.00,-0.28,-0.28,-0.31,-0.34
1903.00,-0.40,-0.37,-0.38,-0.42
1904.00,-0.48,-0.46,-0.42,-0.46
1905.00,-0.30,-0.26,-0.30,-0.32
1906.00,-0.23,-0.22,-0.22,-0.22
1907.00,-0.41,-0.38,-0.39,-0.41
1908.00,-0.46,-0.42,-0.42,-0.45
1909.00,-0.47,-0.48,-0.42,-0.46
1910.00,-0.43,-0.43,-0.40,-0.43
1911.00,-0.47,-0.43,-0.41,-0.49
1912.00,-0.36,-0.35,-0.34,-0.38
1913.00,-0.35,-0.34,-0.31,-0.37
1914.00,-0.17,-0.15,-0.14,-0.19
1915.00,-0.12,-0.13,-0.09,-0.08
1916.00,-0.35,-0.35,-0.33,-0.32
1917.00,-0.42,-0.46,-0.39,-0.41
1918.00,-0.33,-0.29,-0.26,-0.27
1919.00,-0.28,-0.27,-0.22,-0.22
