year,month,m_avg,y_avg
1750,1,-0.466,2.805
1750,2,-0.836,3.025
1750,3,0.678,2.494
1750,4,0.095,1.24
1750,5,-1.205,1.153
1750,6,-0.559,1.01
1750,7,0.419,1.23
1750,8,0.676,1.015
1750,9,-0.782,1.566
1750,10,-2.244,1.47
1750,11,-4.331,1.872
1750,12,-2.988,2.218
1751,1,-1.403,2.813
1751,2,-2.648,2.937
1751,3,0.591,2.069
1751,4,-1.079,1.221
1751,5,-0.855,1.392
1751,6,-0.946,1.025
1751,7,1.063,1.467
1751,8,0.211,0.97
1751,9,-1.112,1.202
1751,10,-2.764,1.713
1751,11,-2.926,1.982
1751,12,-1.948,2.98
1752,1,-3.087,2.956
1752,2,2.264,3.847
1752,3,0.585,2.129
1752,4,-1.362,1.249
1752,5,-0.098,1.379
1752,6,0.372,1.153
1752,7,0.896,1.376
1752,8,-0.908,1.326
1752,9,NaN,NaN
1752,10,-1.442,1.492
1752,11,0.058,1.971
1752,12,-1.025,2.358
1753,1,-0.619,2.87
1753,2,-1.074,2.984
1753,3,1.22,2.137
1753,4,-0.682,1.255
1753,5,0.224,1.106
1753,6,0.025,1.065
1753,7,-0.229,1.446
1753,8,-0.778,1.02
1753,9,-1.282,1.254
1753,10,-0.672,1.45
1753,11,-1.15,1.907
1753,12,-3.968,2.465
1754,1,-0.416,2.853
1754,2,-2.496,3.001
1754,3,-0.976,2.076
1754,4,3.209,1.545
1754,5,0.78,1.32
1754,6,0.407,1.005
1754,7,0.177,1.435
1754,8,-1.144,1.071
1754,9,-1.625,1.254
1754,10,0.046,1.501
1754,11,-0.208,2.563
1754,12,-0.191,2.275
1755,1,-0.779,2.844
1755,2,-2.015,3.017
1755,3,-1.377,2.139
1755,4,0.413,1.302
1755,5,0.503,1.126
1755,6,0.882,1.184
1755,7,0.467,1.659
1755,8,-1.6,1.289
1755,9,-1.401,1.258
1755,10,1.49,1.57
1755,11,-1.104,2.062
1755,12,-2.144,2.247
1756,1,0.824,2.884
1756,2,2.943,3.717
1756,3,-0.353,2.976
1756,4,0.704,1.852
1756,5,0.688,2.66
1756,6,0.5,1.12
1756,7,-0.52,4.023
1756,8,-1.043,1.994
1756,9,-0.766,1.268
1756,10,-1.421,5.184
1756,11,-2.163,1.905
1756,12,-3.075,2.268
1757,1,-2.469,2.911
1757,2,1.393,3.37
1757,3,-0.448,2.747
1757,4,0.117,1.294
1757,5,0.657,1.303
1757,6,2.461,1.096
1757,7,2.383,1.739
1757,8,2.102,2.776
1757,9,0.991,3.722
1757,10,-3.846,3.22
1757,11,-1.978,4.549
1757,12,-2.93,2.355
1758,1,-4.398,4.216
1758,2,-2.547,3.484
1758,3,-1.336,2.103
1758,4,-1.426,1.777
1758,5,-2.525,3.559
1758,6,-0.956,2.372
1758,7,-1.307,2.415
1758,8,-2.999,3.423
1758,9,-2.536,1.522
1758,10,-3.585,1.619
1758,11,-0.948,1.89
1758,12,-1.789,2.222
1759,1,1.441,2.808
1759,2,1.427,3.962
1759,3,-0.491,2.795
1759,4,-1.993,2.601
1759,5,-1.884,2.497
1759,6,0.012,2.267
1759,7,-2.142,2.675
1759,8,-0.137,1.005
1759,9,-0.807,1.782
1759,10,-2.045,3.68
1759,11,-2.775,4.003
1759,12,-4.771,2.664
1760,1,-4.418,3.841
1760,2,-0.194,5.436
1760,3,-2.995,2.41
1760,4,-1.673,1.27
1760,5,-1.313,1.668
1760,6,-1.54,0.983
1760,7,-2.449,1.368
1760,8,-1.247,3.672
1760,9,-2.066,1.44
1760,10,-2.802,1.471
1760,11,-1.176,4.17
1760,12,-3.077,2.594
1761,1,-2.575,2.774
1761,2,-1.127,3.087
1761,3,0.727,2.008
1761,4,-1.017,1.329
1761,5,1.379,1.45
1761,6,2.957,1.23
1761,7,4.039,1.155
1761,8,0.738,1.69
1761,9,-0.294,1.96
1761,10,-3.433,2.123
1761,11,-1.161,5.427
1761,12,-5.988,2.189
1762,1,2.583,5.542
1762,2,0.936,2.983
1762,3,-1.614,3.868
1762,4,-0.038,1.798
1762,5,-0.965,2.482
1762,6,-0.608,1.61
1762,7,-0.832,2.325
1762,8,-0.284,2.143
1762,9,-2.022,1.795
1762,10,-3.085,3.576
1762,11,0.016,1.899
1762,12,-1.917,2.373
1763,1,-2.8,4.683
1763,2,-2.475,4.944
1763,3,-3.716,2.673
1763,4,-1.402,2.457
1763,5,-1.417,2.938
1763,6,-1.558,3.535
1763,7,1.696,1.449
1763,8,-0.816,2.524
1763,9,-1.168,2.941
1763,10,-3.017,1.589
1763,11,-2.052,2.629
1763,12,-1.204,2.41
1764,1,-2.061,2.773
1764,2,2.352,2.911
1764,3,-0.581,2.249
1764,4,-1.155,4.013
1764,5,-1.268,1.364
1764,6,-2.397,2.898
1764,7,-1.433,2.584
1764,8,-1.375,1.058
1764,9,-1.338,2.883
1764,10,0.727,1.987
1764,11,-0.449,2.576
1764,12,1.597,2.68
1765,1,1.387,5.871
1765,2,0.108,3.364
1765,3,1.14,2.336
1765,4,0.625,1.335
1765,5,-0.82,1.299
1765,6,-2.906,2.347
1765,7,-0.846,2.749
1765,8,-0.565,1.502
1765,9,-1.017,1.232
1765,10,-1.2,1.477
1765,11,-0.086,2.356
1765,12,-0.716,2.307
1766,1,-3.185,5.028
1766,2,1.002,3.108
1766,3,0.332,2.183
1766,4,-0.554,2.385
1766,5,-0.212,1.951
1766,6,-0.422,4.397
1766,7,-1.418,2.62
1766,8,-0.274,1.97
1766,9,0.156,1.868
1766,10,-0.949,2.013
1766,11,1.607,2.55
1766,12,-0.974,2.918
1767,1,-3.503,4.457
1767,2,-0.179,5.288
1767,3,1.114,4.41
1767,4,-2.358,3.629
1767,5,-1.457,1.576
1767,6,0.783,2.407
1767,7,-1.301,2.804
1767,8,0.814,1.424
1767,9,-0.319,2.235
1767,10,-0.243,2.253
1767,11,2.24,5.596
1767,12,-2.131,3.333
1768,1,-4.981,4.18
1768,2,-3.32,4.556
1768,3,-3.379,3.251
1768,4,-1.392,1.581
1768,5,-2.568,1.775
1768,6,-1.385,1.203
1768,7,-0.371,1.656
1768,8,-1.19,1.269
1768,9,-1.195,1.937
1768,10,-1.415,1.871
1768,11,-1.037,3.353
1768,12,-0.591,4.942
1769,1,-0.06,4.594
1769,2,-1.126,3.594
1769,3,-0.897,3.391
1769,4,0.511,2.857
1769,5,1.375,3.292
1769,6,1.269,1.415
1769,7,-0.219,1.449
1769,8,-0.449,2.267
1769,9,-0.709,1.21
1769,10,-4.004,1.958
1769,11,-3.051,1.823
1769,12,-4.264,2.876
1770,1,-0.492,4.35
1770,2,0.337,3.041
1770,3,-4.059,2.297
1770,4,1.186,3.68
1770,5,-1.476,1.181
1770,6,-2.014,2.946
1770,7,-3.01,1.419
1770,8,-2.212,2.681
1770,9,-0.924,1.737
1770,10,-0.098,2.13
1770,11,0.12,4.372
1770,12,1.18,3.129
1771,1,2.449,2.876
1771,2,-4.43,2.877
1771,3,-3.426,2.642
1771,4,-2.729,2.574
1771,5,-1.653,4.382
1771,6,0.082,1.409
1771,7,-0.737,1.176
1771,8,0.162,1.772
1771,9,-0.582,1.526
1771,10,0.963,1.51
1771,11,-1.317,2.053
1771,12,-0.86,2.863
1772,1,-0.934,5.074
1772,2,-2.15,6.284
1772,3,-2.861,2.347
1772,4,0.086,1.925
1772,5,-2.044,1.16
1772,6,-1.347,3.488
1772,7,0.099,2.073
1772,8,0.164,2.57
1772,9,-1.641,2.037
1772,10,0.182,1.818
1772,11,2.267,3.624
1772,12,2.557,2.987
1773,1,-3.279,2.839
1773,2,-1.805,3.152
1773,3,-1.025,2.175
1773,4,1.137,1.728
1773,5,1.704,1.5
1773,6,-0.863,1.34
1773,7,0.026,1.507
1773,8,-0.232,1.494
1773,9,0.506,1.646
1773,10,0.119,1.758
1773,11,-2.064,4.033
1773,12,2.265,3.29
1774,1,-3.239,4.426
1774,2,1.1,4.607
1774,3,-0.049,2.282
1774,4,1.619,3.144
1774,5,5.599,1.617
1774,6,1.816,5.125
1774,7,1.924,4.84
1774,8,0.221,1.671
1774,9,-1.132,1.6
1774,10,-0.762,3.38
1774,11,-2.763,3.016
1774,12,-3.058,3.543
1775,1,1.375,4.095
1775,2,2.56,2.554
1775,3,1.718,1.89
1775,4,-1.443,2.155
1775,5,-0.806,3.383
1775,6,-1.657,3.206
1775,7,-0.137,1.917
1775,8,0.286,2.809
1775,9,-1.025,2.566
1775,10,1.064,1.741
1775,11,2.198,1.988
1775,12,-1.975,2.264
1776,1,-3.439,2.577
1776,2,0.89,3.458
1776,3,-1.545,2.286
1776,4,-1.787,2.005
1776,5,-1.717,2.881
1776,6,0.334,1.187
1776,7,-0.821,2.396
1776,8,0.649,1.919
1776,9,-1.835,2.268
1776,10,-1.627,2.812
1776,11,-0.694,2.171
1776,12,0.917,2.71
